star_name,ra,dec,class
HR 7624,19 59 51.29,-34 41 52.1,STAR A4IV
HR 6470,17 25 02.71,-34 41 47.0,STAR A0V
HR 5860,15 46 44.21,-34 40 57.0,STAR B7V
HR 1973,05 42 15.10,-34 40 04.1,STAR B9V
HR 744 ,02 33 07.01,-34 39 00.0,STAR K0III
HR 3385,08 32 58.61,-34 38 02.0,STAR K0V
HR 3490,08 46 49.20,-34 37 22.1,STAR B4V
HR 3273,08 19 29.40,-34 35 25.1,STAR B9
HR 772 ,02 36 58.61,-34 34 41.9,STAR G5IV
HR 5117,13 36 50.50,-34 28 04.1,STAR K0III
HR 6668,17 54 27.19,-34 27 59.0,STAR B9V
HR 5192,13 49 26.71,-34 27 02.9,STAR M4III
HR 6648,17 52 19.70,-34 25 00.1,STAR G8III
HR 5820,15 39 46.01,-34 24 42.8,STAR G8III
HR 2279,06 19 40.99,-34 23 48.1,STAR B9V
HR 6879,18 24 10.30,-34 23 04.9,STAR B9III
HR 2549,06 50 52.39,-34 22 01.9,STAR K5III
HR 5587,15 01 58.10,-34 21 32.0,STAR A8IV
HR 1772,05 21 16.90,-34 20 43.1,STAR B5IV
HR 2170,06 07 03.70,-34 18 42.8,STAR B4IV
HR 6241,16 50 09.79,-34 17 35.9,STAR K2III
HR 6522,17 32 24.50,-34 16 46.9,STAR F2V
HR 3018,07 45 34.99,-34 10 23.2,STAR G0V
HR 8668,22 47 19.10,-34 09 40.0,STAR K1III
HR 2288,06 20 36.31,-34 08 38.0,STAR B1V
HR 2856,07 26 42.29,-34 08 26.9,STAR B2IV
HR 4647,12 13 13.01,-34 07 32.2,STAR M4III
HR 6334,17 04 49.39,-34 07 22.1,STAR B1I
HR 6651,17 52 49.20,-34 06 51.1,STAR K1III
HR 2619,06 58 25.10,-34 06 42.1,STAR B3V
HR 6833,18 17 36.10,-34 06 25.9,STAR B3V
HR 3710,09 19 47.90,-34 06 11.9,STAR B8V
HR 1956,05 39 38.90,-34 04 27.1,STAR B7IV
HR 4238,10 49 57.00,-34 03 29.2,STAR A1V
HR 8433,22 08 25.99,-34 02 38.0,STAR M1III
HR 1393,04 24 02.21,-34 01 00.8,STAR K4III
HR 8444,22 09 55.70,-34 00 52.9,STAR A5V
HR 1524,04 45 49.61,-34 00 18.0,STAR A0V
HR 4874,12 50 41.21,-33 59 57.8,STAR A0IV
HR 5925,15 56 53.50,-33 57 59.0,STAR A3V
HR 5926,15 56 54.19,-33 57 51.1,STAR B9V
HR 170 ,00 39 57.91,-33 57 42.1,STAR F8V
HR 6893,18 25 54.60,-33 56 43.1,STAR B5IV
HR 8230,21 32 14.59,-33 56 40.9,STAR A2IV
HR 2131,06 01 16.39,-33 54 42.1,STAR K5III
HR 4552,11 52 54.60,-33 54 29.2,STAR B9III
HR 1359,04 19 03.00,-33 54 18.0,STAR A3V
HR 5558,14 55 44.69,-33 51 20.9,STAR A0V
HR 724 ,02 28 01.70,-33 48 40.0,STAR A2V
HR 2056,05 53 06.89,-33 48 05.0,STAR B5V
HR 6788,18 10 55.20,-33 47 58.9,STAR B1V
HR 1347,04 17 53.69,-33 47 53.9,STAR B9V
HR 4651,12 13 36.70,-33 47 34.1,STAR A0V
HR 7965,20 49 58.10,-33 46 46.9,STAR G7III
HR 431 ,01 28 43.30,-33 45 49.0,STAR F0IV
HR 3419,08 37 29.69,-33 44 44.9,STAR F0IV
HR 4282,10 59 13.90,-33 44 13.9,STAR F2V
HR 2794,07 19 13.70,-33 43 37.9,STAR K2III
HR 8871,23 19 43.20,-33 42 29.2,STAR K2III
HR 7631,20 00 20.30,-33 42 14.0,STAR F7V
HR 6517,17 31 47.40,-33 42 10.1,STAR K2III
HR 8268,21 39 06.10,-33 40 45.1,STAR G8IV
HR 5883,15 50 57.50,-33 37 37.9,STAR B9IV
HR 5147,13 41 45.70,-33 35 48.8,STAR K0II
HR 4469,11 36 34.99,-33 34 12.0,STAR K0III
HR 3177,08 05 44.90,-33 34 09.1,STAR G1I
HR 3238,08 13 41.09,-33 34 09.1,STAR K2III
HR 6397,17 15 19.30,-33 32 53.9,STAR O7V
HR 6007,16 09 52.61,-33 32 44.9,STAR B8V
HR 13  ,00 08 03.50,-33 31 45.8,STAR K1III
HR 7296,19 16 32.81,-33 31 18.1,STAR G0I
HR 6282,16 55 57.79,-33 30 25.9,STAR K5III
HR 4922,13 00 32.59,-33 30 19.1,STAR F0V
HR 2641,07 00 49.80,-33 27 55.1,STAR G8II
HR 2913,07 34 12.79,-33 27 47.9,STAR A9IV
HR 2296,06 22 06.79,-33 26 11.0,STAR G7II
HR 7893,20 40 19.80,-33 25 54.8,STAR K1III
HR 3932,09 56 35.50,-33 25 07.0,STAR K1III
HR 1966,05 41 27.00,-33 24 02.2,STAR A0V
HR 4850,12 46 46.01,-33 18 56.2,STAR K3III
HR 4571,11 57 03.70,-33 18 55.1,STAR A0V
HR 5104,13 34 43.61,-33 18 38.9,STAR K2III
HR 5549,14 54 37.99,-33 18 02.2,STAR K2III
HR 3052,07 49 35.40,-33 17 20.0,STAR K5III
HR 6288,16 57 11.09,-33 15 33.8,STAR K5III
HR 5337,14 16 18.29,-33 14 29.0,STAR F0V
HR 5348,14 18 23.81,-33 13 14.2,STAR F0V
HR 5974,16 04 17.81,-33 12 51.8,STAR A9IV
HR 6097,16 23 56.71,-33 11 57.8,STAR A0V
HR 5043,13 23 08.71,-33 11 24.0,STAR M1III
HR 3468,08 43 35.50,-33 11 11.0,STAR B1III
HR 7979,20 51 58.80,-33 10 37.9,STAR A2V
HR 6192,16 41 45.50,-33 08 47.0,STAR G3III
HR 8437,22 08 42.70,-33 07 32.2,STAR A2III
HR 5790,15 36 11.40,-33 05 34.1,STAR B8V
HR 8616,22 38 51.50,-33 04 53.0,STAR A2V
HR 1909,05 35 15.41,-33 04 48.0,STAR K2III
HR 576 ,01 58 26.69,-33 04 00.1,STAR K0III
HR 3282,08 21 22.99,-33 03 15.8,STAR K2II
HR 6587,17 43 06.89,-33 03 04.0,STAR M1III
HR 8256,21 36 48.89,-33 02 53.2,STAR A7V
HR 7585,19 55 05.09,-33 02 47.0,STAR K2III
HR 5168,13 45 41.21,-33 02 38.0,STAR F3IV
HR 4013,10 13 24.79,-33 01 54.8,STAR G1V
HR 8305,21 44 56.81,-33 01 32.9,STAR A0V
HR 6960,18 33 57.79,-33 01 00.1,STAR B2IV
HR 6044,16 14 22.30,-33 00 41.0,STAR K0III
HR 105 ,00 27 55.70,-33 00 25.9,STAR M4III
HR 7668,20 05 32.11,-33 00 00.0,STAR B8
HR 5211,13 51 50.11,-32 59 40.9,STAR B8V
HR 5210,13 51 49.61,-32 59 39.8,STAR B5III
HR 6936,18 31 04.80,-32 59 21.1,STAR A3
HR 8431,22 08 22.99,-32 59 19.0,STAR A2V
HR 4473,11 37 01.20,-32 59 17.2,STAR F6III
HR 5753,15 31 50.30,-32 52 52.0,STAR B7V
HR 8695,22 52 31.61,-32 52 32.2,STAR A0III
HR 4458,11 34 29.50,-32 49 53.0,STAR K0V
HR 4735,12 26 51.70,-32 49 48.0,STAR B9V
HR 8680,22 49 59.09,-32 48 19.1,STAR F0V
HR 3512,08 49 51.50,-32 46 50.2,STAR G5III
HR 6777,18 09 59.90,-32 43 10.9,STAR K0IV
HR 2415,06 34 35.30,-32 42 59.0,STAR B8V
HR 4194,10 42 43.20,-32 42 56.9,STAR A0V
HR 1031,03 23 44.59,-32 42 25.9,STAR K3III
HR 3170,08 04 16.20,-32 40 30.0,STAR M1I
HR 6409,17 17 03.70,-32 39 46.1,STAR F6IV
HR 6006,16 09 31.70,-32 38 58.9,STAR K0III
HR 5595,15 02 59.30,-32 38 35.9,STAR B3V
HR 5562,14 56 30.91,-32 38 12.1,STAR K3III
HR 1958,05 39 49.80,-32 37 45.1,STAR G6III
HR 3397,08 34 31.70,-32 35 55.0,STAR G5IV
HR 4324,11 07 08.40,-32 35 13.9,STAR F1III
HR 6535,17 34 42.50,-32 34 54.1,STAR O7V
HR 2361,06 28 10.10,-32 34 48.0,STAR B4V
HR 6422,17 18 20.40,-32 33 11.9,STAR B5V
HR 8447,22 10 08.81,-32 32 53.9,STAR F6V
HR 423 ,01 26 58.10,-32 32 35.2,STAR
HR 8720,22 55 56.90,-32 32 22.9,STAR G8III
HR 4774,12 32 04.51,-32 32 01.0,STAR A3V
HR 8863,23 18 49.39,-32 31 54.8,STAR K1III
HR 817 ,02 44 20.50,-32 31 30.0,STAR A1V
HR 3533,08 52 26.09,-32 30 33.1,STAR K2III
HR 2538,06 49 50.50,-32 30 31.0,STAR B1IV
HR 903 ,02 59 38.30,-32 30 25.9,STAR A0V
HR 4503,11 41 43.99,-32 29 58.9,STAR K5III
HR 3160,08 03 04.10,-32 27 50.0,STAR K2III
HR 6389,17 12 58.70,-32 26 19.0,STAR B1II
HR 4346,11 12 14.81,-32 26 02.0,STAR M1III
HR 841 ,02 49 05.40,-32 24 20.9,STAR K0III
HR 2364,06 28 39.19,-32 22 16.0,STAR B4V
HR 4339,11 09 53.40,-32 22 03.0,STAR A2V
HR 8576,22 31 30.31,-32 20 46.0,STAR A0V
HR 8076,21 06 24.70,-32 20 30.1,STAR K2III
HR 2447,06 37 47.59,-32 20 22.9,STAR K2III
HR 497 ,01 42 08.59,-32 19 36.8,STAR K0III
HR 1996,05 45 59.90,-32 18 23.0,STAR O9V
HR 8039,21 01 17.50,-32 15 28.1,STAR G6III
HR 2823,07 23 31.90,-32 12 07.9,STAR B3III
HR 3833,09 37 09.89,-32 10 43.0,STAR K0III
HR 2149,06 04 20.30,-32 10 21.0,STAR B2V
HR 8135,21 17 56.30,-32 10 21.0,STAR A1V
HR 3362,08 30 28.61,-32 09 33.8,STAR K2III
HR 6316,17 01 52.70,-32 08 37.0,STAR B8V
HR 3239,08 14 10.99,-32 08 26.9,STAR B1V
HR 116 ,00 29 48.91,-32 07 00.1,STAR K4III
HR 6211,16 43 38.71,-32 06 22.0,STAR B8V
HR 7399,19 30 14.69,-32 05 31.9,STAR F3IV
HR 8975,23 40 38.21,-32 04 23.2,STAR K1III
HR 7659,20 04 19.61,-32 03 23.0,STAR K1III
HR 7970,20 50 47.11,-32 03 15.8,STAR K5III
HR 2397,06 32 39.00,-32 01 50.2,STAR B2IV
HR 5970,16 03 34.30,-32 00 02.2,STAR F4IV
HR 2098,05 56 49.01,-31 58 34.0,STAR G8III
HR 4307,11 03 16.10,-31 57 38.9,STAR M1III
HR 1134,03 42 14.90,-31 56 17.9,STAR B5IV
HR 5221,13 53 12.50,-31 55 40.1,STAR B4IV
HR 2819,07 23 00.60,-31 55 26.0,STAR B5III
HR 9049,23 55 16.61,-31 55 18.1,STAR B6V
HR 7507,19 46 01.20,-31 54 31.0,STAR B8V
HR 453 ,01 34 50.71,-31 53 31.9,STAR K0III
HR 3780,09 30 45.41,-31 53 29.0,STAR A2V
HR 3781,09 30 46.10,-31 53 21.8,STAR A0V
HR 5956,16 01 19.51,-31 53 21.8,STAR K4III
HR 9050,23 55 16.61,-31 53 03.1,STAR B8V
HR 1095,03 34 33.50,-31 52 28.9,STAR K3III
HR 3789,09 31 32.21,-31 52 18.8,STAR A9IV
HR 8956,23 37 05.40,-31 52 14.9,STAR K1III
HR 4450,11 33 00.10,-31 51 28.1,STAR G7III
HR 2870,07 28 51.31,-31 50 53.9,STAR B3V
HR 2871,07 28 51.50,-31 50 48.8,STAR B4V
HR 4298,11 00 40.80,-31 50 21.8,STAR F8V
HR 7323,19 20 26.21,-31 49 04.1,STAR M0III
HR 2834,07 24 43.80,-31 48 32.0,STAR G8II
HR 2500,06 45 22.80,-31 47 37.0,STAR F6V
HR 2307,06 23 14.40,-31 47 24.0,STAR G8III
HR 2598,06 55 54.79,-31 47 24.0,STAR B3V
HR 5923,15 56 13.90,-31 47 08.9,STAR F6V
HR 1635,05 02 22.80,-31 46 17.0,STAR G8III
HR 3715,09 20 44.21,-31 45 38.2,STAR B9V
HR 2847,07 25 43.01,-31 44 19.0,STAR B2V
HR 2545,06 50 23.30,-31 42 22.0,STAR B6V
HR 6628,17 49 10.51,-31 42 11.9,STAR B8V
HR 4225,10 48 14.21,-31 41 17.9,STAR A1V
HR 5268,14 03 01.70,-31 41 02.0,STAR F8V
HR 3336,08 27 16.39,-31 40 23.2,STAR G8III
HR 8601,22 36 35.40,-31 39 50.0,STAR K1III
HR 2974,07 40 52.70,-31 39 38.9,STAR G2I
HR 8719,22 55 51.41,-31 37 59.2,STAR K3III
HR 5212,13 52 00.91,-31 37 09.8,STAR F7V
HR 7909,20 41 23.71,-31 35 53.9,STAR M0III
HR 8721,22 56 24.00,-31 33 56.2,STAR K4V
HR 293 ,01 02 26.40,-31 33 06.8,STAR A2V
HR 5660,15 14 37.30,-31 31 09.1,STAR F1II
HR 5006,13 16 53.11,-31 30 22.0,STAR K1III
HR 3384,08 32 51.50,-31 30 02.9,STAR K0V
HR 2873,07 29 04.90,-31 27 23.0,STAR B2V
HR 57  ,00 16 08.90,-31 26 47.0,STAR K5III
HR 2092,05 56 20.90,-31 22 57.0,STAR F2III
HR 5237,13 55 44.50,-31 17 06.0,STAR G8III
HR 8214,21 29 03.79,-31 14 19.0,STAR A0
HR 5822,15 40 15.41,-31 12 49.0,STAR K2III
HR 5688,15 18 41.30,-31 12 33.8,STAR G6III
HR 727 ,02 28 35.40,-31 06 09.0,STAR K2III
HR 4449,11 32 54.10,-31 05 13.9,STAR M2III
HR 2741,07 13 47.11,-31 05 02.0,STAR B2IV
HR 5916,15 55 30.41,-31 05 01.0,STAR K4III
HR 1093,03 33 56.81,-31 04 49.1,STAR F5V
HR 532 ,01 49 19.49,-31 04 22.1,STAR K2III
HR 8070,21 06 01.20,-30 07 30.0,STAR K0III
HR 2492,06 44 28.39,-31 04 14.2,STAR B2III
HR 4104,10 27 09.10,-31 04 04.1,STAR K4III
HR 7211,19 04 25.10,-31 02 48.8,STAR A0IV
HR 89  ,00 23 12.60,-31 02 10.0,STAR B9IV
HR 7151,18 58 21.29,-31 02 10.0,STAR K3III
HR 2621,06 58 43.80,-30 59 52.1,STAR B3V
HR 2881,07 30 42.50,-30 57 43.9,STAR G3I
HR 2501,06 45 31.30,-30 56 56.0,STAR B2III
HR 400 ,01 23 31.01,-30 56 44.2,STAR K5III
HR 5474,14 41 51.10,-30 55 59.9,STAR A0
HR 3251,08 15 52.51,-30 55 32.9,STAR G5III
HR 5619,15 06 33.29,-30 55 08.0,STAR A0
HR 3096,07 55 13.70,-30 55 03.0,STAR K4III
HR 6077,16 19 32.69,-30 54 24.1,STAR F6III
HR 8326,21 47 44.21,-30 53 53.9,STAR A2V
HR 2768,07 16 57.19,-30 53 48.1,STAR A9II
HR 4548,11 51 41.59,-30 50 06.0,STAR F7V
HR 990 ,03 16 11.30,-30 49 39.0,STAR A0V
HR 2720,07 12 04.10,-30 49 18.1,STAR A8V
HR 858 ,02 51 55.30,-30 48 51.8,STAR F8IV
HR 358 ,01 12 23.40,-30 48 07.9,STAR F7IV
HR 1509,04 43 09.29,-30 45 56.2,STAR K2III
HR 6888,18 25 01.51,-30 45 24.1,STAR K0III
HR 7105,18 52 41.69,-30 44 03.1,STAR B8V
HR 6780,18 10 05.69,-30 43 43.0,STAR K1II
HR 652 ,02 12 54.50,-30 43 26.0,STAR B9V
HR 7991,20 53 25.01,-30 43 07.0,STAR K1III
HR 1476,04 36 50.90,-30 43 00.1,STAR B9IV
HR 5428,14 33 09.60,-30 42 51.1,STAR K0III
HR 2756,07 15 21.00,-30 41 11.0,STAR B3V
HR 8623,22 40 22.30,-30 39 32.0,STAR K3III
HR 2680,07 06 00.60,-30 39 20.2,STAR B3V
HR 786 ,02 40 02.50,-30 38 02.0,STAR K0III
HR 4118,10 29 35.40,-30 36 25.9,STAR B9V
HR 8365,21 55 55.61,-30 36 23.0,STAR G8III
HR 6273,16 54 36.00,-30 35 13.9,STAR A7III
HR 2497,06 45 02.40,-30 35 10.0,STAR B8IV
HR 3956,10 02 49.30,-30 34 39.0,STAR K1III
HR 5542,14 52 33.10,-30 34 36.8,STAR G1V
HR 1464,04 35 33.00,-30 33 43.9,STAR G8III
HR 6645,17 51 12.50,-30 33 25.9,STAR A0V
HR 7617,19 58 56.40,-30 32 17.2,STAR K1III
HR 1972,05 42 11.59,-30 32 08.2,STAR A0V
HR 1246,04 00 40.70,-30 29 26.9,STAR A2V
HR 7856,20 34 47.40,-30 28 25.0,STAR B8V
HR 2460,06 39 42.70,-30 28 13.1,STAR K0III
HR 6746,18 05 48.50,-30 25 27.1,STAR K0III
HR 4810,12 39 03.50,-30 25 19.9,STAR K2III
HR 6366,17 08 47.50,-30 24 13.0,STAR A0
HR 3644,09 09 56.40,-30 21 55.1,STAR A4IV
HR 2743,07 13 57.19,-30 20 24.0,STAR B2IV
HR 3113,07 57 40.10,-30 20 04.9,STAR A2V
HR 3196,08 09 06.70,-30 19 21.0,STAR K5III
HR 4525,11 47 15.70,-30 17 12.8,STAR G5V
HR 3099,07 56 22.80,-30 17 07.1,STAR M6III
HR 441 ,01 31 43.30,-30 16 59.9,STAR K0III
HR 6694,17 59 05.50,-30 15 11.9,STAR G8II
HR 6693,17 59 05.21,-30 15 11.2,STAR M1I
HR 2824,07 23 54.29,-30 13 00.8,STAR B2IV
HR 6403,17 15 51.50,-30 12 38.2,STAR B9V
HR 3878,09 45 21.79,-30 12 10.1,STAR B0III
HR 777 ,02 38 18.70,-30 11 39.1,STAR F4V
HR 4328,11 07 54.41,-30 10 28.9,STAR G2V
HR 1184,03 47 55.99,-30 10 04.1,STAR G6III
HR 4083,10 23 13.10,-30 09 43.9,STAR F0III
HR 5686,15 17 49.90,-30 08 56.0,STAR G9III
HR 1838,05 29 06.70,-30 07 00.1,STAR G8III
HR 2282,06 20 18.79,-30 03 47.9,STAR B2V
HR 767 ,02 36 09.29,-30 02 40.9,STAR G8III
HR 1539,04 47 49.61,-30 01 13.1,STAR K1IV
HR 7725,20 15 50.59,-30 00 19.1,STAR K4III
HR 3261,08 17 58.30,-30 00 11.9,STAR K0III
HR 594 ,02 01 14.71,-30 00 06.1,STAR G5III
HR 4331,11 08 15.79,-29 58 22.1,STAR A1V
HR 8405,22 04 23.90,-29 55 00.1,STAR K5III
HR 3230,08 12 46.01,-29 54 38.9,STAR A1V
HR 462 ,01 36 08.40,-29 54 27.0,STAR F2V
HR 8398,22 03 17.21,-29 54 15.1,STAR F0III
HR 1179,03 47 20.11,-29 54 06.8,STAR F8V
HR 5893,15 52 12.79,-29 53 12.1,STAR K1III
HR 7194,19 02 36.70,-29 52 49.1,STAR A2III
HR 6492,17 27 21.29,-29 52 00.8,STAR F5IV
HR 884 ,02 57 13.10,-29 51 19.1,STAR A2V
HR 1888,05 33 52.10,-29 50 56.0,STAR A0V
HR 6859,18 20 59.69,-29 49 41.2,STAR K3III
HR 6907,18 27 49.49,-29 48 59.0,STAR F9V
HR 974 ,03 13 37.99,-29 48 15.1,STAR K1II
HR 2252,06 15 57.19,-29 47 17.9,STAR K4III
HR 5812,15 38 39.41,-29 46 40.1,STAR B2V
HR 1453,04 33 30.60,-29 46 00.1,STAR K0III
HR 2164,06 06 05.50,-29 45 31.0,STAR A1V
HR 7380,19 26 56.50,-29 44 35.9,STAR B9V
HR 6494,17 27 37.49,-29 43 27.8,STAR B9IV
HR 9091,00 02 19.90,-29 43 13.1,STAR B4III
HR 6106,16 24 39.70,-29 42 16.9,STAR G0IV
HR 6105,16 24 39.60,-29 42 11.9,STAR G0IV
HR 6972,18 35 59.69,-29 41 57.1,STAR K1III
HR 8244,21 34 52.99,-29 41 46.0,STAR B8III
HR 606 ,02 02 28.10,-29 39 54.0,STAR A3III
HR 4117,10 29 28.99,-29 39 49.0,STAR K5III
HR 8728,22 57 39.10,-29 37 19.9,STAR A3V
HR 6742,18 05 01.30,-29 34 48.0,STAR F4I
HR 5098,13 32 34.51,-29 33 55.1,STAR F3IV
HR 3433,08 39 42.50,-29 33 40.0,STAR G4III
HR 5128,13 38 42.00,-29 33 38.9,STAR F5V
HR 138 ,00 33 41.11,-29 33 29.9,STAR K2III
HR 8693,22 51 20.90,-29 32 10.0,STAR G8III
HR 300 ,01 03 17.59,-29 31 32.9,STAR G5IV
HR 8823,23 10 46.61,-29 31 30.0,STAR F1III
HR 7270,19 11 18.89,-29 30 07.9,STAR B9
HR 5407,14 28 10.39,-29 29 30.1,STAR B8V
HR 9073,23 59 27.89,-29 29 06.0,STAR K5III
HR 3513,08 50 02.21,-29 27 47.2,STAR G8III
HR 8740,22 59 35.81,-29 27 43.9,STAR A5
HR 2043,05 51 59.50,-29 26 55.0,STAR K3III
HR 6017,16 11 01.99,-29 24 59.0,STAR K3III
HR 2226,06 13 33.29,-29 23 46.0,STAR B7V
HR 7104,18 52 37.01,-29 22 45.8,STAR K1III
HR 8637,22 42 22.10,-29 21 38.9,STAR M5III
HR 280 ,00 58 36.41,-29 21 27.0,STAR B7III
HR 1171,03 46 27.41,-29 20 17.2,STAR A3V
HR 7360,19 25 04.10,-29 18 33.1,STAR K3III
HR 2827,07 24 05.71,-29 18 11.2,STAR B5I
HR 612 ,02 04 29.40,-29 17 48.8,STAR B9
HR 5324,14 15 01.30,-29 16 54.8,STAR A1V
HR 9102,00 04 20.30,-29 16 07.0,STAR A0V
HR 4443,11 32 16.10,-29 15 47.9,STAR F8V
HR 4444,11 32 16.30,-29 15 40.0,STAR F8V
HR 3331,08 26 50.81,-29 12 55.1,STAR B9V
HR 5928,15 56 53.11,-29 12 51.1,STAR B2IV
HR 7764,20 20 28.10,-29 11 49.9,STAR A4V
HR 4498,11 41 08.40,-29 11 47.0,STAR G0V
HR 5565,14 57 13.61,-29 09 28.1,STAR B9V
HR 2863,07 27 59.21,-29 09 20.9,STAR B9V
HR 2068,05 54 14.09,-29 08 52.1,STAR F3V
HR 5965,16 02 39.41,-29 08 08.9,STAR K3III
HR 7832,20 30 56.81,-29 06 45.0,STAR A5V
HR 5197,13 50 06.50,-29 04 53.0,STAR A0V
HR 4049,10 18 07.61,-28 59 30.8,STAR A0I
HR 963 ,03 12 04.30,-28 59 12.8,STAR F8V
HR 84  ,00 21 31.20,-28 58 54.1,STAR G5III
HR 2618,06 58 37.49,-28 58 19.9,STAR B2II
HR 2996,07 43 48.50,-28 57 16.9,STAR A2I
HR 900 ,02 59 06.60,-28 54 24.8,STAR K1III
HR 6802,18 11 58.20,-28 54 05.0,STAR B9IV
HR 8754,23 01 19.39,-28 51 13.0,STAR K3III
HR 3733,09 23 12.31,-28 50 02.0,STAR G8III
HR 8802,23 08 21.00,-28 49 23.9,STAR G9III
HR 3585,08 59 15.70,-28 48 22.0,STAR G8III
HR 993 ,03 18 02.81,-28 47 48.8,STAR F3V
HR 7538,19 49 11.59,-28 47 20.0,STAR F2V
HR 3745,09 26 44.81,-28 47 15.0,STAR B6V
HR 2318,06 24 43.90,-28 46 48.0,STAR G2IV
HR 8142,21 18 54.41,-28 45 56.2,STAR G8IV
HR 6692,17 58 39.10,-28 45 33.1,STAR B3IV
HR 8614,22 38 44.69,-28 44 52.1,STAR K1III
HR 4320,11 06 38.71,-28 43 40.1,STAR A1V
HR 1915,05 36 10.30,-28 42 28.1,STAR A2III
HR 5097,13 32 35.90,-28 41 34.1,STAR A1V
HR 1935,05 37 44.59,-28 41 21.8,STAR F4V
HR 7801,20 25 26.81,-28 39 47.9,STAR G8II
HR 6835,18 17 24.00,-28 39 09.0,STAR A5V
HR 2005,05 47 04.70,-28 38 21.1,STAR B5V
HR 7240,19 07 30.91,-28 38 12.8,STAR K3III
HR 3798,09 32 18.50,-28 37 41.2,STAR A9V
HR 3516,08 50 21.60,-28 37 05.2,STAR B9V
HR 6070,16 18 17.90,-28 36 50.0,STAR A0V
HR 4003,10 12 02.90,-28 36 23.0,STAR A1V
HR 5228,13 54 16.61,-28 34 10.9,STAR K2III
HR 2576,06 53 33.91,-28 32 22.9,STAR G5IV
HR 6218,16 45 00.19,-28 30 34.9,STAR A3IV
HR 2637,07 00 42.60,-28 29 21.8,STAR F5V
HR 4565,11 55 40.10,-28 28 36.8,STAR K5III
HR 6766,18 08 04.99,-28 27 25.9,STAR G7III
HR 8386,22 00 50.21,-28 27 13.0,STAR B8V
HR 6864,18 22 00.19,-28 25 48.0,STAR A3III
HR 6029,16 12 15.91,-28 25 03.0,STAR B9V
HR 2993,07 43 32.40,-28 24 40.0,STAR K3I
HR 2922,07 35 22.80,-28 22 09.8,STAR B8V
HR 8619,22 39 43.99,-28 19 31.1,STAR K0IV
HR 4839,12 44 00.50,-28 19 26.0,STAR K4III
HR 8446,22 10 00.10,-28 17 33.0,STAR A5V
HR 6836,18 17 23.71,-28 17 21.1,STAR G0V
HR 4130,10 31 48.60,-28 14 15.0,STAR F7V
HR 749 ,02 33 50.71,-28 13 57.0,STAR B9V
HR 6165,16 35 52.99,-28 12 58.0,STAR B0V
HR 5809,15 38 15.70,-28 12 24.1,STAR K1III
HR 6459,17 23 21.60,-28 08 35.2,STAR K5III
HR 5794,15 37 01.51,-28 08 06.0,STAR K3III
HR 9016,23 48 55.61,-28 07 49.1,STAR A0V
HR 5090,13 31 33.29,-28 06 46.1,STAR A1V
HR 914 ,03 01 37.70,-28 05 30.1,STAR G5IV
HR 8813,23 09 44.59,-28 05 19.0,STAR K2III
HR 1525,04 46 25.80,-28 05 15.0,STAR A3IV
HR 4334,11 08 43.90,-28 04 50.2,STAR A1V
HR 6680,17 56 41.90,-28 03 55.1,STAR A7III
HR 5856,15 46 12.79,-28 03 42.1,STAR F2IV
HR 5591,15 02 06.41,-28 03 38.2,STAR A4IV
HR 2916,07 34 34.90,-27 00 42.8,STAR K1III
HR 5775,15 34 37.30,-28 02 48.8,STAR K4III
HR 24  ,00 09 21.00,-27 59 16.1,STAR F2V
HR 5526,14 50 17.30,-27 57 37.1,STAR K4III
HR 2972,07 40 43.39,-27 56 44.9,STAR B3IV
HR 1114,03 38 47.69,-27 56 35.2,STAR A0V
HR 845 ,02 49 54.19,-27 56 30.1,STAR A0V
HR 2646,07 01 43.10,-27 56 04.9,STAR K7I
HR 6028,16 12 18.19,-27 55 35.0,STAR B2V
HR 7997,20 54 06.79,-27 55 32.2,STAR M4III
HR 6593,17 43 17.81,-27 53 03.1,STAR A9V
HR 2766,07 16 34.99,-27 52 52.0,STAR M3III
HR 1926,05 37 16.49,-27 52 17.0,STAR F0IV
HR 7355,19 24 30.10,-27 51 56.2,STAR B2V
HR 2822,07 23 29.09,-27 50 03.1,STAR K2III
HR 943 ,03 07 50.90,-27 49 52.0,STAR A5V
HR 6616,17 47 33.60,-27 49 50.9,STAR F7II
HR 34  ,00 11 34.39,-27 47 58.9,STAR K5III
HR 268 ,00 55 55.49,-27 46 32.2,STAR M0III
HR 2380,06 30 46.30,-27 46 09.8,STAR B2V
HR 3871,09 44 12.10,-27 46 09.8,STAR A8V
HR 8478,22 14 18.79,-27 46 00.8,STAR B8III
HR 6387,17 12 25.01,-27 45 42.8,STAR B9V
HR 5381,14 23 05.81,-27 45 14.0,STAR K4III
HR 4723,12 25 18.41,-27 44 57.1,STAR K1III
HR 8050,21 03 10.20,-27 43 54.8,STAR K0III
HR 3518,08 50 31.90,-27 42 36.0,STAR K3III
HR 7650,20 02 39.50,-27 42 34.9,STAR M4III
HR 3556,08 55 31.51,-27 40 54.8,STAR A3IV
HR 7234,19 06 56.40,-27 40 14.2,STAR K1III
HR 5577,14 58 39.19,-27 39 25.9,STAR A4V
HR 1275,04 05 37.39,-27 39 06.1,STAR F1IV
HR 8110,21 13 17.30,-27 37 09.8,STAR K5III
HR 4860,12 48 26.40,-27 35 51.0,STAR G5III
HR 2611,06 57 42.41,-27 32 15.0,STAR B2V
HR 2708,07 10 19.39,-27 29 29.0,STAR G8III
