,name   ,alt_name ,ra         ,dec        ,vmag ,multiple,class                                              ,
,HR 6040,         ,16 15 49.70,-57 54 43.9, 5.63,        ,                                         STAR A3III,
,HR 6251,         ,16 54 00.50,-57 54 33.8, 5.94,        ,                                         STAR M1III,
,HR 6062,         ,16 18 51.89,-57 53 58.9, 6.49,        ,                                           STAR F8I,
,HR 8362,Pi  Ind  ,21 56 13.99,-57 53 57.8, 6.19,        ,                                            STAR A0,
,HR 8593,         ,22 35 52.90,-57 53 01.0, 6.23,        ,                                           STAR A5V,
,HR 3622,         ,09 04 48.00,-57 51 09.0, 6.44,W       ,                                         STAR A8III,
,HR 8531,         ,22 24 56.40,-57 47 49.9, 5.32,W       ,                                          STAR G3IV,
,HR 5961,Iot1Nor  ,16 03 31.90,-57 46 31.1, 4.63,W       ,                                          STAR A7IV,
,HR 6120,         ,16 29 45.00,-57 45 20.9, 6.06,        ,                                           STAR G8I,
,HR 6320,         ,17 04 24.70,-57 42 43.9, 5.73,        ,                                          STAR B5IV,
,HR 4526,         ,11 47 19.10,-57 41 47.0, 5.41,        ,                                         STAR K5III,
,HR 350 ,         ,01 10 07.39,-57 41 39.8, 6.41,        ,                                          STAR G6II,
,HR 4706,         ,12 22 49.30,-57 40 34.0, 5.39,        ,                                           STAR B9V,
,HR 4110,         ,10 27 24.41,-57 38 20.0, 4.66,        ,                                           STAR A9I,
,HR 3536,         ,08 51 36.60,-57 38 01.0, 5.59,        ,                                         STAR B8III,
,HR 5124,         ,13 38 49.10,-57 37 23.2, 6.01,W       ,                                           STAR G5I,
,HR 3693,         ,09 15 34.99,-57 34 41.2, 6.32,        ,                                          STAR G8II,
,HR 4159,         ,10 35 35.30,-57 33 28.1, 4.45,        ,                                          STAR K3II,
,HR 3455,         ,08 40 43.61,-57 32 43.1, 6.34,W       ,                                           STAR A3V,
,HR 6586,         ,17 44 55.80,-57 32 43.1, 6.01,W       ,                                         STAR G8III,
,HR 3696,         ,09 16 12.19,-57 32 29.0, 4.34,        ,                                         STAR M1III,
,HR 7691,         ,20 11 07.20,-57 31 26.0, 6.37,W       ,                                           STAR B7V,
,HR 6908,         ,18 29 56.69,-57 31 23.2, 5.76,W       ,                                         STAR K0III,
,HR 8509,         ,22 20 36.19,-57 30 36.0, 6.34,        ,                                         STAR K3III,
,HR 4592,         ,12 01 28.99,-57 30 13.0, 6.16,        ,                                           STAR A0V,
,HR 1674,Zet Dor  ,05 05 30.60,-57 28 22.1, 4.72,        ,                                           STAR F7V,
,HR 4226,         ,10 47 38.71,-57 28 04.1, 6.36,        ,                                          STAR M1II,
,HR 191 ,Eta Phe  ,00 43 21.19,-57 27 47.2, 4.36,W       ,                                          STAR A0IV,
,HR 8620,         ,22 40 48.89,-57 25 19.9, 5.97,        ,                                         STAR K4III,
,HR 4556,         ,11 54 11.50,-57 24 36.0, 6.06,        ,                                         STAR A0III,
,HR 3957,         ,10 01 58.01,-57 20 58.9, 6.20,        ,                                          STAR K1II,
,HR 977 ,         ,03 12 33.19,-57 19 18.1, 5.74,        ,                                               STAR,
,HR 3105,         ,07 54 53.21,-57 18 11.2, 5.63,        ,                                         STAR K3III,
,HR 3864,         ,09 41 02.21,-57 15 34.9, 5.80,        ,                                         STAR K0III,
,HR 4173,         ,10 38 02.50,-57 15 23.0, 5.91,        ,                                          STAR B3IV,
,HR 4250,         ,10 52 30.91,-57 14 26.2, 5.25,        ,                                           STAR B9I,
,HR 472 ,Alp Eri  ,01 37 42.89,-57 14 12.1, 0.46,        ,                                           STAR B3V,
,HR 3883,         ,09 45 40.49,-57 11 08.2, 6.46,        ,                                         STAR B8III,
,HR 4898,Mu 1Cru  ,12 54 35.59,-57 10 40.1, 4.03,W       ,                                          STAR B2IV,
,HR 4899,Mu 2Cru  ,12 54 36.79,-57 10 05.9, 5.17,W       ,                                           STAR B5V,
,HR 2072,         ,05 52 20.30,-57 09 22.0, 5.94,        ,                                          STAR F7IV,
,HR 4763,Gam Cru  ,12 31 09.89,-57 06 47.9, 1.63,W       ,                                         STAR M3III,
,HR 1245,         ,03 58 42.89,-57 06 09.0, 6.05,        ,                                          STAR F2IV,
,HR 5316,         ,14 14 57.00,-57 05 08.9, 5.07,W       ,                                           STAR B4V,
,HR 4764,Gam Cru  ,12 31 16.70,-57 04 52.0, 6.42,W       ,                                           STAR A3V,
,HR 1405,         ,04 24 12.19,-57 04 17.0, 6.29,W       ,                                           STAR G4V,
,HR 3803,         ,09 31 13.30,-57 02 03.8, 3.13,        ,                                         STAR K5III,
,HR 295 ,Ome Phe  ,01 02 01.80,-57 00 09.0, 6.11,        ,                                         STAR G8III,
,HR 4551,         ,11 52 10.10,-56 59 16.1, 5.57,W       ,                                           STAR A2V,
,HR 3953,         ,10 00 34.39,-56 56 48.1, 6.52,W       ,                                         STAR K0III,
,HR 6505,         ,17 31 22.99,-56 55 14.2, 5.95,        ,                                          STAR B7II,
,HR 6384,         ,17 14 13.20,-56 53 17.9, 6.09,        ,                                          STAR M1II,
,HR 5421,         ,14 32 32.90,-56 53 16.1, 6.93,        ,                                           STAR F5I,
,HR 7022,         ,18 45 23.71,-56 52 54.1, 6.22,        ,                                         STAR K3III,
,HR 2389,         ,06 29 28.51,-56 51 10.1, 5.22,        ,                                         STAR K0III,
,HR 8901,         ,23 25 19.39,-56 50 57.1, 5.59,        ,                                         STAR K0III,
,HR 4908,         ,12 55 57.00,-56 50 10.0, 5.32,W       ,                                           STAR O9I,
,HR 8387,Eps Ind  ,22 03 21.60,-56 47 10.0, 4.69,        ,                                           STAR K4V,
,HR 4398,         ,11 23 08.11,-56 46 45.8, 5.79,        ,                                            STAR A4,
,HR 3498,         ,08 46 42.50,-56 46 10.9, 4.49,        ,                                           STAR B3V,
,HR 5151,         ,13 42 56.09,-56 46 05.2, 6.00,        ,                                         STAR B0III,
,HR 4221,         ,10 46 57.50,-56 45 25.9, 5.23,        ,                                         STAR B8III,
,HR 2683,         ,07 04 18.29,-56 44 58.9, 5.17,        ,                                            STAR A0,
,HR 7790,Alp Pav  ,20 25 38.90,-56 44 06.0, 1.94,W       ,                                          STAR B2IV,
,HR 3031,         ,07 45 35.59,-56 43 21.0, 6.12,W       ,                                          STAR F0II,
,HR 5515,         ,14 49 06.89,-56 40 04.1, 6.23,        ,                                         STAR K1III,
,HR 3549,         ,08 53 03.79,-56 38 57.8, 6.03,        ,                                           STAR A0V,
,HR 6442,         ,17 23 06.89,-56 31 31.1, 5.80,        ,                                         STAR G8III,
,HR 4754,         ,12 29 53.90,-56 31 28.9, 5.80,        ,                                         STAR M1III,
,HR 183 ,Xi  Phe  ,00 41 46.39,-56 30 06.1, 5.70,W       ,                                            STAR A0,
,HR 4848,         ,12 46 22.70,-56 29 20.0, 4.65,W       ,                                           STAR B3V,
,HR 3056,         ,07 48 19.20,-56 28 16.0, 6.33,W       ,                                         STAR K0III,
,HR 5461,         ,14 40 32.81,-56 26 26.9, 6.30,        ,                                          STAR K0II,
,HR 3895,         ,09 48 40.01,-56 24 42.8, 6.06,        ,                                         STAR K0III,
,HR 3062,         ,07 49 06.70,-56 24 38.2, 5.59,W       ,                                          STAR G5II,
,HR 4749,         ,12 28 33.41,-56 24 28.1, 6.15,W       ,                                         STAR K0III,
,HR 2638,         ,06 58 36.19,-56 23 40.9, 6.45,        ,                                          STAR F2II,
,HR 5358,         ,14 20 19.51,-56 23 12.1, 4.33,        ,                                           STAR B6I,
,HR 6462,Gam Ara  ,17 25 23.59,-56 22 39.0, 3.34,W       ,                                           STAR B1I,
,HR 4702,         ,12 21 57.50,-56 22 28.9, 5.92,        ,                                         STAR K4III,
,HR 2320,Nu  Pic  ,06 22 55.80,-56 22 12.0, 5.61,        ,                                            STAR A0,
,HR 7510,Nu  Tel  ,19 48 01.20,-56 21 45.0, 5.35,        ,                                         STAR A7III,
,HR 4576,         ,11 58 15.19,-56 19 01.9, 5.44,        ,                                         STAR B8III,
,HR 5266,         ,14 03 26.21,-56 12 49.0, 5.92,        ,                                         STAR K2III,
,HR 486 ,         ,01 39 47.40,-56 11 53.2, 5.87,W       ,                                           STAR K0V,
,HR 487 ,         ,01 39 47.81,-56 11 40.9, 5.76,W       ,                                           STAR K5V,
,HR 5979,         ,16 07 24.00,-56 11 29.0, 6.16,        ,                                          STAR F2II,
,HR 4834,         ,12 43 09.10,-56 10 34.0, 6.00,        ,                                           STAR B7V,
,HR 2042,Gam Pic  ,05 49 49.70,-56 10 00.1, 4.51,        ,                                         STAR K1III,
,HR 1801,Kap Pic  ,05 22 22.10,-56 08 03.8, 6.11,        ,                                           STAR B8V,
,HR 4061,         ,10 18 37.61,-56 06 36.0, 5.81,        ,                                           STAR F6V,
,HR 3218,         ,08 09 33.60,-56 05 08.2, 5.66,        ,                                            STAR A3,
,HR 4074,         ,10 20 54.79,-56 02 35.2, 4.50,W       ,                                         STAR B3III,
,HR 6819,         ,18 17 07.49,-56 01 23.9, 5.33,        ,                                         STAR B3III,
,HR 6285,Zet Ara  ,16 58 37.20,-55 59 25.1, 3.13,        ,                                         STAR K3III,
,HR 4832,         ,12 42 49.61,-55 56 49.9, 6.08,        ,                                           STAR B9V,
,HR 688 ,         ,02 19 54.29,-55 56 40.9, 5.81,W       ,                                         STAR K5III,
,HR 2941,         ,07 36 01.70,-55 53 15.0, 6.39,        ,                                         STAR K1III,
,HR 8381,         ,22 00 24.10,-55 52 58.1, 6.01,        ,                                          STAR B9IV,
,HR 3629,         ,09 06 34.01,-55 48 11.9, 6.11,        ,                                          STAR B2IV,
,HR 5027,         ,13 20 48.29,-55 48 02.2, 6.02,        ,                                           STAR B0I,
,HR 3471,         ,08 42 20.90,-55 46 27.1, 6.29,        ,                                         STAR K2III,
,HR 8271,         ,21 40 33.60,-55 44 15.0, 6.33,        ,                                          STAR K0II,
,HR 2634,         ,06 58 39.60,-55 43 45.8, 6.27,        ,                                         STAR K2III,
,HR 7233,         ,19 08 52.10,-55 43 13.1, 6.49,        ,                                         STAR K1III,
,HR 4180,         ,10 39 18.41,-55 36 11.9, 4.28,W       ,                                           STAR G2I,
,HR 5488,         ,14 45 10.90,-55 36 06.8, 6.10,W       ,                                         STAR B2III,
,HR 3679,         ,09 14 18.00,-55 34 10.9, 5.27,        ,                                          STAR G8II,
,HR 6019,Zet Nor  ,16 13 22.61,-55 32 26.9, 5.81,        ,                                         STAR F2III,
,HR 2526,         ,06 47 18.70,-55 32 24.0, 5.61,        ,                                         STAR K5III,
,HR 6461,Bet Ara  ,17 25 18.00,-55 31 48.0, 2.85,        ,                                           STAR K3I,
,HR 3732,         ,09 21 49.99,-55 30 54.0, 5.63,        ,                                          STAR A3IV,
,HR 3161,         ,08 01 31.49,-55 27 18.0, 6.28,        ,                                           STAR B4V,
,HR 7388,         ,19 29 52.61,-55 26 29.0, 6.13,        ,                                         STAR K0III,
,HR 6614,         ,17 48 38.11,-55 24 06.1, 6.11,        ,                                          STAR A9IV,
